symptom,related_symptoms
irregular_sugar_level,"increased_appetite,polyuria,fatigue,weight_loss,restlessness"
blurred_and_distorted_vision,"excessive_hunger,irritability,fatigue,headache,increased_appetite"
obesity,"fatigue,increased_appetite,polyuria,weight_loss,restlessness"
excessive_hunger,"irritability,fatigue,blurred_and_distorted_vision,headache,sweating"
increased_appetite,"polyuria,fatigue,weight_loss,restlessness,lethargy"
polyuria,"increased_appetite,fatigue,weight_loss,restlessness,lethargy"
sunken_eyes,"diarrhoea,vomiting,dehydration"
dehydration,"diarrhoea,vomiting,sunken_eyes"
diarrhoea,"vomiting,nausea,muscle_pain,fatigue,chills"
breathlessness,"chest_pain,fever,fatigue,cough,sweating"
family_history,"fatigue,fever,breathlessness,mucoid_sputum,yellowish_skin"
mucoid_sputum,"fever,breathlessness,family_history,fatigue,cough"
headache,"vomiting,fever,nausea,fatigue,chills"
dizziness,"loss_of_balance,enlarged_thyroid,brittle_nails,swollen_extremeties,depression"
loss_of_balance,"headache,dizziness,lack_of_concentration,neck_pain,vomiting"
lack_of_concentration,"loss_of_balance,headache,chest_pain,dizziness"
stiff_neck,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger"
depression,"irritability,enlarged_thyroid,brittle_nails,swollen_extremeties,abnormal_menstruation"
irritability,"excessive_hunger,fatigue,abnormal_menstruation,depression,mood_swings"
visual_disturbances,"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger"
back_pain,"headache,nausea,loss_of_appetite,pain_behind_the_eyes,skin_rash"
weakness_in_limbs,"neck_pain,dizziness,loss_of_balance,back_pain"
neck_pain,"dizziness,loss_of_balance,joint_pain,knee_pain,hip_joint_pain"
weakness_of_one_body_side,"altered_sensorium,vomiting,headache"
altered_sensorium,"vomiting,headache,weakness_of_one_body_side"
dark_urine,"abdominal_pain,yellowish_skin,yellowing_of_eyes,loss_of_appetite,vomiting"
sweating,"fatigue,vomiting,chest_pain,chills,fever"
muscle_pain,"headache,nausea,chills,vomiting,fever"
mild_fever,"loss_of_appetite,yellowing_of_eyes,malaise,swelled_lymph_nodes,vomiting"
swelled_lymph_nodes,"malaise,fatigue,fever,phlegm,chest_pain"
malaise,"fatigue,fever,loss_of_appetite,chills,chest_pain"
red_spots_over_body,"headache,loss_of_appetite,malaise,skin_rash,fatigue"
joint_pain,"loss_of_appetite,nausea,vomiting,yellowing_of_eyes,abdominal_pain"
pain_behind_the_eyes,"headache,nausea,loss_of_appetite,back_pain,skin_rash"
constipation,"chills,fatigue,fever,vomiting,nausea"
toxic_look_(typhos),"chills,fatigue,fever,vomiting,nausea"
belly_pain,"chills,fatigue,fever,vomiting,nausea"
yellow_urine,"yellowing_of_eyes,malaise,receiving_blood_transfusion,receiving_unsterile_injections,itching"
receiving_blood_transfusion,"yellowing_of_eyes,malaise,receiving_unsterile_injections,itching,fatigue"
receiving_unsterile_injections,"yellowing_of_eyes,malaise,receiving_blood_transfusion,itching,fatigue"
coma,"loss_of_appetite,abdominal_pain,yellowing_of_eyes,stomach_bleeding,joint_pain"
stomach_bleeding,"loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,joint_pain"
acute_liver_failure,"loss_of_appetite,abdominal_pain,yellowing_of_eyes,coma,stomach_bleeding"
swelling_of_stomach,"vomiting,yellowish_skin,abdominal_pain,distention_of_abdomen,history_of_alcohol_consumption"
distention_of_abdomen,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,history_of_alcohol_consumption"
history_of_alcohol_consumption,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen"
fluid_overload,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen"
phlegm,"chest_pain,malaise,chills,fatigue,cough"
blood_in_sputum,"loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise"
throat_irritation,"phlegm,redness_of_eyes,sinus_pressure,runny_nose,congestion"
redness_of_eyes,"phlegm,throat_irritation,sinus_pressure,runny_nose,congestion"
sinus_pressure,"phlegm,throat_irritation,redness_of_eyes,runny_nose,congestion"
runny_nose,"phlegm,throat_irritation,redness_of_eyes,sinus_pressure,congestion"
congestion,"phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose"
loss_of_smell,"phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose"
fast_heart_rate,"fatigue,sweating,chest_pain,rusty_sputum,chills"
rusty_sputum,"chest_pain,fast_heart_rate,chills,fatigue,cough"
pain_during_bowel_movements,"constipation,pain_in_anal_region,bloody_stool,irritation_in_anus"
pain_in_anal_region,"constipation,pain_during_bowel_movements,bloody_stool,irritation_in_anus"
bloody_stool,"constipation,pain_during_bowel_movements,pain_in_anal_region,irritation_in_anus"
irritation_in_anus,"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool"
cramps,"fatigue,bruising,obesity,swollen_legs,prominent_veins_on_calf"
bruising,"fatigue,cramps,obesity,swollen_legs,prominent_veins_on_calf"
swollen_legs,"fatigue,cramps,bruising,obesity,prominent_veins_on_calf"
swollen_blood_vessels,"fatigue,cramps,bruising,obesity,swollen_legs"
prominent_veins_on_calf,"fatigue,cramps,bruising,obesity,swollen_legs"
weight_gain,"enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability"
cold_hands_and_feets,"enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability"
mood_swings,"irritability,abnormal_menstruation,fatigue,enlarged_thyroid,brittle_nails"
puffy_face_and_eyes,"enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability"
enlarged_thyroid,"brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation"
brittle_nails,"enlarged_thyroid,swollen_extremeties,depression,irritability,abnormal_menstruation"
swollen_extremeties,"enlarged_thyroid,brittle_nails,depression,irritability,abnormal_menstruation"
abnormal_menstruation,"irritability,mood_swings,fatigue,enlarged_thyroid,brittle_nails"
muscle_weakness,"irritability,abnormal_menstruation,fatigue,mood_swings,weight_loss"
anxiety,"excessive_hunger,slurred_speech,irritability,palpitations,vomiting"
slurred_speech,"excessive_hunger,irritability,palpitations,vomiting,fatigue"
palpitations,"excessive_hunger,slurred_speech,irritability,vomiting,fatigue"
drying_and_tingling_lips,"excessive_hunger,slurred_speech,irritability,palpitations,vomiting"
knee_pain,"joint_pain,neck_pain,hip_joint_pain,swelling_joints,painful_walking"
hip_joint_pain,"joint_pain,neck_pain,knee_pain,swelling_joints,painful_walking"
swelling_joints,"painful_walking,joint_pain,neck_pain,knee_pain,hip_joint_pain"
painful_walking,"swelling_joints,joint_pain,neck_pain,knee_pain,hip_joint_pain"
movement_stiffness,"muscle_weakness,stiff_neck,swelling_joints,painful_walking"
spinning_movements,"vomiting,headache,nausea,loss_of_balance,unsteadiness"
unsteadiness,"vomiting,headache,nausea,loss_of_balance,spinning_movements"
pus_filled_pimples,"skin_rash,blackheads,scurring"
blackheads,"skin_rash,pus_filled_pimples,scurring"
scurring,"skin_rash,pus_filled_pimples,blackheads"
bladder_discomfort,"continuous_feel_of_urine,burning_micturition,foul_smell_of urine"
foul_smell_of urine,"bladder_discomfort,continuous_feel_of_urine,burning_micturition"
continuous_feel_of_urine,"bladder_discomfort,burning_micturition,foul_smell_of urine"
skin_peeling,"skin_rash,joint_pain,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
silver_like_dusting,"skin_rash,joint_pain,skin_peeling,small_dents_in_nails,inflammatory_nails"
small_dents_in_nails,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,inflammatory_nails"
inflammatory_nails,"skin_rash,joint_pain,skin_peeling,silver_like_dusting,small_dents_in_nails"
blister,"skin_rash,red_sore_around_nose,yellow_crust_ooze,fever"
red_sore_around_nose,"skin_rash,blister,yellow_crust_ooze,fever"
yellow_crust_ooze,"skin_rash,blister,red_sore_around_nose,fever"
muscle pain,"fever,chills,fatigue,cough"
